id;ID_Segment;Lenght;distance;angle;Nom;Lat;Long;Rayon
3;T3;;10.000000000000000;20.250633509276962;Matexi Beton-Lemaire;50.6621170500;4.5708167540;50
3;T3;;20.000000000000000;20.250633509276962;Matexi Beton-Lemaire;50.6622013100;4.5708660720;50
3;T3;;30.000000000000000;20.250633509276962;Matexi Beton-Lemaire;50.6622855700;4.5709153900;50
3;T3;;40.000000000000000;20.250633509276962;Matexi Beton-Lemaire;50.6623698200;4.5709647080;50
3;T3;;50.000000000000000;20.250633509276962;Matexi Beton-Lemaire;50.6624540800;4.5710140260;50
3;T3;;60.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6625356700;4.5710731260;50
3;T3;;70.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6626164800;4.5711351260;50
3;T3;;80.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6626972800;4.5711971260;50
3;T3;;90.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6627780800;4.5712591260;50
3;T3;;100.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6628588800;4.5713211260;50
3;T3;;110.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6629396800;4.5713831270;50
3;T3;;120.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6630204800;4.5714451270;50
3;T3;;130.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6631012900;4.5715071280;50
3;T3;;140.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6631820900;4.5715691300;50
3;T3;;150.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6632628900;4.5716311310;50
3;T3;;160.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6633436900;4.5716931320;50
3;T3;;170.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6634244900;4.5717551340;50
3;T3;;180.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6635052900;4.5718171360;50
3;T3;;190.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6635861000;4.5718791390;50
3;T3;;200.000000000000000;25.841860951410208;Matexi Beton-Lemaire;50.6636669000;4.5719411410;50
4;T4;;0.000000000000000;25.625125230962905;Matexi Beton-Lemaire;50.6616924100;4.5721944020;50
4;T4;;10.000000000000000;25.625125230962905;Matexi Beton-Lemaire;50.6617733600;4.5722559210;50
4;T4;;20.000000000000000;25.625125230962905;Matexi Beton-Lemaire;50.6618543100;4.5723174400;50
4;T4;;30.000000000000000;16.587338556937599;Matexi Beton-Lemaire;50.6619371300;4.5723714170;50
4;T4;;40.000000000000000;16.587338556937599;Matexi Beton-Lemaire;50.6620232200;4.5724121670;50
4;T4;;50.000000000000000;12.154941697216685;Matexi Beton-Lemaire;50.6621093500;4.5724526250;50
4;T4;;60.000000000000000;12.154941697216685;Matexi Beton-Lemaire;50.6621971800;4.5724827860;50
4;T4;;70.000000000000000;12.154941697216685;Matexi Beton-Lemaire;50.6622850100;4.5725129470;50
